,time,x_n,v_n,theta_n,theta_dot_n,x,v,theta,theta_dot,u_force,PendulumPlant_x,PendulumPlant_v,PendulumPlant_theta,PendulumPlant_theta_dot
451,4.514514514514515,0.0025056845527370673,0.02698074922810837,-0.0656422826700199,-0.054114110096733774,-0.0115901437286553,0.023306632542958026,3.081567591788043,-0.08430547530214656,18.483508780514043,-0.014095828281392367,-0.0036741166851503426,3.147209874458063,-0.03019136520541279
452,4.524524524524525,-0.2536822954395377,0.042957321811601314,0.13234222192425113,-0.17954790278617858,-0.2678084223763778,0.0397548868668106,3.2792712266879094,-0.20754003684525796,-8.57794126547184,-0.014126126936840124,-0.0032024349447907145,3.1469290047636584,-0.027992134059079382
453,4.534534534534535,-0.026842252329081884,-0.1067552657196823,-0.17671444172513398,-0.042165927661690444,-0.040999411215469975,-0.1085848270810906,2.969941811388129,-0.06575784322524435,27.202134452623255,-0.014157158886388093,-0.001829561361408294,3.146656253113263,-0.0235919155635539
454,4.544544544544545,-0.10823374117321588,0.08103430339083915,-0.03323500644243966,-0.17835070614420323,-0.1223859197841806,0.08372890308253435,3.11324798605232,-0.1897065666258557,22.999260572447863,-0.014152178610964726,0.0026945996916951957,3.14648299249476,-0.01135586048165247
455,4.554554554554555,-0.009976880205034556,0.03788384018292899,-0.07046185364846508,0.14093154653738846,-0.024089664405975417,0.0422671341224989,3.0759430557853547,0.13470134933084535,-1.1697048371774503,-0.014112784200940861,0.0043832939395699036,3.14640490943382,-0.006230197206543117
456,4.564564564564565,-0.156372268593858,-0.12081723261625871,0.08910758356412155,-0.13162181114214214,-0.17044836011467362,-0.11823139896239125,3.2354366385868465,-0.14145465232983107,-12.539336344734213,-0.014076091520815629,0.0025858336538674602,3.1463290550227248,-0.009832841187688922
457,4.574574574574575,-0.008159953189557248,-0.012653314417256348,0.09909567277342202,0.00393174764546057,-0.02222620119725064,-0.013419961470313505,3.2452905843683095,-0.013410577587471773,-16.651223993058174,-0.014066248007693394,-0.0007666470530571556,3.1461949115948875,-0.017342325232932342
458,4.584584584584585,0.014746016090688914,0.002167459373526253,0.03886112983025989,-0.03268269414021432,0.0006587187709093702,-0.0007618952910720322,3.184853239950874,-0.054592432480404116,-1.6807765953286662,-0.014087297319779543,-0.002929354664598285,3.1459921101206145,-0.021909738340189795
459,4.594594594594595,0.00812454471184608,0.07956946783146202,0.09497693133574747,-0.07197513276761626,-0.005996164101681946,0.07569290815208866,3.240743535784684,-0.09545416656773097,-3.175874961836186,-0.014120708813528025,-0.0038765596793733518,3.1457666044489363,-0.023479033800114704
460,4.604604604604605,0.05907886234688116,-0.034696490648576085,0.22121057571829797,0.028368800177363842,0.04490195309061367,-0.042988080975095495,3.366702474541111,-0.005394346849795121,-36.158551629981254,-0.014176909256267488,-0.00829159032651941,3.145491898822813,-0.03376314702715896
